date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-08-30,8.0,,2.0,2.0,10.0,119427.0,176,2
2022-08-29,6.0,0.0,3.0,2.0,2.0,119427.0,121,1
2022-08-28,7.0,0.0,0.0,0.0,0.0,119427.0,92,2
2022-08-27,6.0,0.0,0.0,0.0,3.0,119427.0,168,82
2022-08-26,7.0,0.0,0.0,4.0,6.0,119427.0,147,4
2022-08-25,7.0,0.0,3.0,4.0,7.0,119427.0,280,88
2022-08-24,7.0,0.0,2.0,6.0,8.0,119427.0,281,122
2022-08-23,14.0,1.0,0.0,3.0,4.0,119427.0,352,185
2022-08-22,7.0,1.0,0.0,5.0,10.0,119427.0,424,178
2022-08-21,10.0,0.0,0.0,3.0,0.0,119427.0,233,110
2022-08-20,5.0,0.0,0.0,1.0,3.0,119427.0,204,106
2022-08-19,11.0,0.0,0.0,5.0,13.0,119427.0,271,94
2022-08-18,7.0,0.0,1.0,3.0,2.0,119427.0,366,171
2022-08-17,12.0,0.0,2.0,20.0,26.0,119427.0,378,213
2022-08-16,12.0,0.0,1.0,4.0,19.0,119427.0,328,159
2022-08-15,18.0,0.0,0.0,6.0,16.0,119427.0,493,190
2022-08-14,13.0,0.0,0.0,0.0,0.0,119427.0,339,192
2022-08-13,11.0,1.0,0.0,7.0,2.0,119427.0,218,115
2022-08-12,9.0,0.0,3.0,4.0,14.0,119427.0,367,197
2022-08-11,11.0,0.0,0.0,2.0,5.0,119427.0,476,263
2022-08-10,16.0,0.0,5.0,6.0,25.0,119427.0,332,172
2022-08-09,15.0,0.0,1.0,2.0,1.0,119427.0,384,164
2022-08-08,12.0,0.0,0.0,5.0,9.0,119427.0,448,174
2022-08-07,17.0,3.0,2.0,2.0,2.0,119427.0,290,130
2022-08-06,8.0,0.0,1.0,3.0,9.0,119427.0,313,192
2022-08-05,10.0,0.0,0.0,7.0,14.0,119427.0,346,149
2022-08-04,16.0,1.0,0.0,0.0,2.0,119427.0,473,225
2022-08-03,19.0,0.0,2.0,15.0,34.0,119427.0,466,256
2022-08-02,26.0,1.0,2.0,10.0,17.0,119427.0,468,237
2022-08-01,33.0,0.0,0.0,2.0,6.0,119427.0,557,256
2022-07-31,20.0,0.0,7.0,20.0,26.0,119427.0,321,183
2022-07-30,16.0,0.0,1.0,0.0,5.0,119427.0,364,230
2022-07-29,20.0,1.0,3.0,12.0,12.0,119427.0,451,229
2022-07-28,27.0,0.0,0.0,13.0,12.0,119427.0,516,234
2022-07-27,11.0,0.0,8.0,19.0,22.0,119427.0,397,157
2022-07-26,32.0,1.0,1.0,2.0,16.0,119427.0,550,283
2022-07-25,38.0,1.0,3.0,6.0,21.0,119427.0,543,194
2022-07-24,33.0,0.0,6.0,19.0,19.0,119427.0,388,186
2022-07-23,28.0,0.0,1.0,0.0,2.0,119427.0,351,161
2022-07-22,33.0,0.0,2.0,21.0,31.0,119427.0,555,287
2022-07-21,36.0,0.0,0.0,1.0,3.0,119427.0,548,251
2022-07-20,42.0,0.0,4.0,23.0,30.0,119427.0,580,292
2022-07-19,36.0,0.0,1.0,5.0,10.0,119427.0,526,221
2022-07-18,46.0,0.0,2.0,9.0,5.0,119427.0,617,255
2022-07-17,60.0,1.0,4.0,27.0,17.0,119427.0,395,153
2022-07-16,36.0,1.0,0.0,0.0,1.0,119427.0,395,198
2022-07-15,53.0,0.0,4.0,8.0,17.0,119427.0,735,365
2022-07-14,58.0,0.0,2.0,1.0,6.0,119427.0,687,330
2022-07-13,78.0,0.0,1.0,17.0,30.0,119427.0,622,257
2022-07-12,56.0,0.0,1.0,8.0,21.0,119427.0,599,209
2022-07-11,86.0,2.0,2.0,13.0,17.0,119427.0,707,234
2022-07-10,82.0,0.0,1.0,15.0,17.0,119427.0,507,232
2022-07-09,53.0,0.0,0.0,2.0,2.0,119427.0,427,183
2022-07-08,43.0,0.0,0.0,5.0,13.0,119427.0,527,186
2022-07-07,59.0,0.0,2.0,25.0,19.0,119427.0,723,385
2022-07-06,72.0,0.0,3.0,21.0,29.0,119427.0,649,249
2022-07-05,74.0,1.0,14.0,6.0,8.0,119427.0,603,192
2022-07-04,111.0,1.0,3.0,13.0,29.0,119427.0,760,224
2022-07-03,66.0,0.0,4.0,25.0,29.0,119427.0,452,164
2022-07-02,55.0,0.0,0.0,0.0,0.0,119427.0,452,203
2022-07-01,58.0,0.0,4.0,21.0,16.0,119427.0,573,239
2022-06-30,55.0,1.0,1.0,4.0,13.0,119427.0,636,280
2022-06-29,70.0,1.0,7.0,23.0,27.0,119427.0,552,206
2022-06-28,58.0,0.0,2.0,19.0,30.0,119427.0,681,348
2022-06-27,71.0,0.0,1.0,8.0,16.0,119427.0,652,220
2022-06-26,51.0,0.0,3.0,27.0,32.0,119427.0,432,194
2022-06-25,41.0,0.0,1.0,7.0,8.0,119427.0,377,186
2022-06-24,32.0,0.0,2.0,8.0,25.0,119427.0,478,226
2022-06-23,43.0,1.0,1.0,8.0,10.0,119427.0,470,212
2022-06-22,55.0,0.0,0.0,17.0,18.0,119427.0,483,215
2022-06-21,42.0,0.0,3.0,14.0,12.0,119427.0,437,168
2022-06-20,44.0,0.0,0.0,3.0,13.0,119427.0,602,249
2022-06-19,35.0,0.0,4.0,14.0,29.0,119427.0,438,204
2022-06-18,23.0,0.0,0.0,3.0,2.0,119427.0,436,268
2022-06-17,37.0,0.0,8.0,16.0,23.0,119427.0,411,204
2022-06-16,28.0,0.0,0.0,3.0,8.0,119427.0,541,263
2022-06-15,25.0,0.0,5.0,13.0,38.0,119427.0,534,288
2022-06-14,42.0,0.0,2.0,7.0,16.0,119427.0,556,277
2022-06-13,43.0,0.0,2.0,5.0,17.0,119427.0,580,236
2022-06-12,27.0,0.0,7.0,21.0,31.0,119427.0,368,183
2022-06-11,24.0,0.0,1.0,7.0,6.0,119427.0,365,204
2022-06-10,26.0,0.0,0.0,4.0,27.0,119427.0,462,227
2022-06-09,24.0,0.0,3.0,2.0,14.0,119427.0,548,298
2022-06-08,21.0,1.0,3.0,11.0,28.0,119427.0,494,237
2022-06-07,26.0,0.0,1.0,6.0,18.0,119427.0,541,271
2022-06-06,19.0,0.0,2.0,15.0,11.0,119427.0,675,328
2022-06-05,20.0,0.0,0.0,0.0,0.0,119427.0,424,208
2022-06-04,20.0,0.0,0.0,0.0,0.0,119427.0,395,212
